Frame_ID,Time_s,Arduino_State,Camera_Frame,Raw_Ticks_Signed,Zeroed_Dist_cm,Smoothed_Vel_cm_s
1,0.000000,0,34,0,0.0000,0.0000
2,0.000900,0,35,0,0.0000,0.0000
3,0.001800,0,35,0,0.0000,0.0000
4,0.002700,0,35,0,0.0000,0.0000
5,0.003600,0,35,0,0.0000,0.0000
6,0.004500,0,35,0,0.0000,0.0000
7,0.005399,0,35,0,0.0000,0.0000
8,0.006299,0,35,0,0.0000,0.0000
9,0.007199,0,35,0,0.0000,0.0000
10,0.008099,0,35,0,0.0000,0.0000
11,0.008999,0,35,0,0.0000,0.0000
12,0.009899,0,35,0,0.0000,0.0000
13,0.010799,0,35,0,0.0000,0.0000
14,0.011699,0,35,0,0.0000,0.0000
15,0.012599,0,35,0,0.0000,0.0000
16,0.013499,0,35,0,0.0000,0.0000
17,0.014399,0,35,0,0.0000,0.0000
18,0.015300,0,35,0,0.0000,0.0000
19,0.016199,0,38,0,0.0000,0.0000
20,0.017099,0,38,0,0.0000,0.0000
21,0.017999,0,38,0,0.0000,0.0000
22,0.018899,0,38,0,0.0000,0.0000
23,0.019799,0,38,0,0.0000,0.0000
24,0.020699,0,38,0,0.0000,0.0000
25,0.021599,0,38,0,0.0000,0.0000
26,0.022499,0,38,0,0.0000,0.0000
27,0.023399,0,38,0,0.0000,0.0000
28,0.024299,0,38,0,0.0000,0.0000
29,0.025199,0,38,0,0.0000,0.0000
30,0.026099,0,38,0,0.0000,0.0000
31,0.026999,0,38,0,0.0000,0.0000
32,0.027899,0,38,0,0.0000,0.0000
33,0.028799,0,38,0,0.0000,0.0000
34,0.029699,0,38,0,0.0000,0.0000
35,0.030599,0,38,0,0.0000,0.0000
36,0.031499,0,38,0,0.0000,0.0000
37,0.032399,0,38,0,0.0000,0.0000
38,0.033299,0,38,0,0.0000,0.0000
39,0.034199,0,38,0,0.0000,0.0000
40,0.035099,0,38,0,0.0000,0.0000
41,0.035999,0,38,0,0.0000,0.0000
42,0.036899,0,38,0,0.0000,0.0000
43,0.037799,0,38,0,0.0000,0.0000
44,0.038699,0,38,0,0.0000,0.0000
45,0.039600,0,38,0,0.0000,0.0000
46,0.040500,0,38,0,0.0000,0.0000
47,0.041400,0,38,0,0.0000,0.0000
48,0.042300,0,38,0,0.0000,0.0000
49,0.043200,0,38,0,0.0000,0.0000
50,0.044100,0,38,0,0.0000,0.0000
51,0.045000,0,38,0,0.0000,0.0000
52,0.045900,0,38,0,0.0000,0.0000
53,0.046800,0,38,0,0.0000,0.0000
54,0.047700,0,38,0,0.0000,0.0000
55,0.048600,0,38,0,0.0000,0.0000
56,0.049500,0,38,0,0.0000,0.0000
57,0.050400,0,38,0,0.0000,0.0000
58,0.051300,0,38,0,0.0000,0.0000
59,0.052200,0,38,0,0.0000,0.0000
60,0.053100,0,38,0,0.0000,0.0000
61,0.054000,0,38,0,0.0000,0.0000
62,0.054900,0,38,0,0.0000,0.0000
63,0.055800,0,38,0,0.0000,0.0000
64,0.056700,0,38,0,0.0000,0.0000
65,0.057600,0,38,0,0.0000,0.0000
66,0.058500,0,38,0,0.0000,0.0000
67,0.059400,0,38,0,0.0000,0.0000
68,0.060300,0,38,0,0.0000,0.0000
69,0.061200,0,38,0,0.0000,0.0000
70,0.062100,0,39,0,0.0000,0.0000
71,0.063000,0,39,0,0.0000,0.0000
72,0.063900,0,39,0,0.0000,0.0000
73,0.064800,0,39,0,0.0000,0.0000
74,0.065700,0,39,0,0.0000,0.0000
75,0.066600,0,39,0,0.0000,0.0000
76,0.067500,0,39,0,0.0000,0.0000
77,0.068400,0,39,0,0.0000,0.0000
78,0.069300,0,39,0,0.0000,0.0000
79,0.070200,0,39,0,0.0000,0.0000
80,0.071100,0,39,0,0.0000,0.0000
81,0.072000,0,39,0,0.0000,0.0000
82,0.072900,0,39,0,0.0000,0.0000
83,0.073800,0,39,0,0.0000,0.0000
84,0.074700,0,39,0,0.0000,0.0000
85,0.075600,0,39,0,0.0000,0.0000
86,0.076500,0,39,0,0.0000,0.0000
87,0.077400,0,42,0,0.0000,0.0000
88,0.078300,0,42,0,0.0000,0.0000
89,0.079200,0,42,0,0.0000,0.0000
90,0.080100,0,42,0,0.0000,0.0000
91,0.081000,0,42,0,0.0000,0.0000
92,0.081900,0,42,0,0.0000,0.0000
