Frame_ID,Time_s,Arduino_State,Camera_Frame,Raw_Ticks_Signed,Zeroed_Dist_cm,Smoothed_Vel_cm_s
1,0.000000,0,35,0,0.0000,0.0000
2,0.000900,0,36,0,0.0000,0.0000
3,0.001800,0,36,0,0.0000,0.0000
4,0.002700,0,36,0,0.0000,0.0000
5,0.003600,0,36,0,0.0000,0.0000
6,0.004500,0,36,0,0.0000,0.0000
7,0.005400,0,36,0,0.0000,0.0000
8,0.006300,0,36,0,0.0000,0.0000
9,0.007200,0,36,0,0.0000,0.0000
10,0.008100,0,36,0,0.0000,0.0000
11,0.009000,0,36,0,0.0000,0.0000
12,0.009900,0,36,0,0.0000,0.0000
13,0.010800,0,36,0,0.0000,0.0000
14,0.011700,0,36,0,0.0000,0.0000
15,0.012600,0,36,0,0.0000,0.0000
16,0.013500,0,36,0,0.0000,0.0000
17,0.014400,0,36,0,0.0000,0.0000
18,0.015300,0,36,0,0.0000,0.0000
19,0.016200,0,39,0,0.0000,0.0000
20,0.017100,0,39,0,0.0000,0.0000
21,0.018000,0,39,0,0.0000,0.0000
22,0.018900,0,39,0,0.0000,0.0000
23,0.019800,0,39,0,0.0000,0.0000
24,0.020700,0,39,0,0.0000,0.0000
25,0.021600,0,39,0,0.0000,0.0000
26,0.022500,0,39,0,0.0000,0.0000
27,0.023400,0,39,0,0.0000,0.0000
28,0.024300,0,39,0,0.0000,0.0000
29,0.025200,0,39,0,0.0000,0.0000
30,0.026100,0,39,0,0.0000,0.0000
31,0.027000,0,39,0,0.0000,0.0000
32,0.027900,0,39,0,0.0000,0.0000
33,0.028800,0,39,0,0.0000,0.0000
34,0.029700,0,39,0,0.0000,0.0000
35,0.030600,0,39,0,0.0000,0.0000
36,0.031500,0,39,0,0.0000,0.0000
37,0.032400,0,39,0,0.0000,0.0000
38,0.033300,0,39,0,0.0000,0.0000
39,0.034200,0,39,0,0.0000,0.0000
40,0.035100,0,39,0,0.0000,0.0000
41,0.036000,0,39,0,0.0000,0.0000
42,0.036900,0,39,0,0.0000,0.0000
43,0.037800,0,39,0,0.0000,0.0000
44,0.038700,0,39,0,0.0000,0.0000
45,0.039601,0,39,0,0.0000,0.0000
46,0.040501,0,39,0,0.0000,0.0000
47,0.041401,0,39,0,0.0000,0.0000
48,0.042301,0,39,0,0.0000,0.0000
49,0.043201,0,39,0,0.0000,0.0000
50,0.044101,0,39,0,0.0000,0.0000
51,0.045001,0,39,0,0.0000,0.0000
52,0.045901,0,39,0,0.0000,0.0000
53,0.046801,0,39,0,0.0000,0.0000
54,0.047701,0,39,0,0.0000,0.0000
55,0.048601,0,39,0,0.0000,0.0000
56,0.049501,0,39,0,0.0000,0.0000
57,0.050401,0,39,0,0.0000,0.0000
58,0.051301,0,39,0,0.0000,0.0000
59,0.052201,0,39,0,0.0000,0.0000
60,0.053101,0,39,0,0.0000,0.0000
61,0.054001,0,39,0,0.0000,0.0000
62,0.054901,0,39,0,0.0000,0.0000
63,0.055801,0,39,0,0.0000,0.0000
64,0.056701,0,39,0,0.0000,0.0000
65,0.057601,0,39,0,0.0000,0.0000
66,0.058501,0,39,0,0.0000,0.0000
67,0.059401,0,39,0,0.0000,0.0000
68,0.060301,0,39,0,0.0000,0.0000
69,0.061201,0,39,0,0.0000,0.0000
70,0.062101,0,39,0,0.0000,0.0000
71,0.063001,0,40,0,0.0000,0.0000
72,0.063901,0,40,0,0.0000,0.0000
73,0.064801,0,40,0,0.0000,0.0000
74,0.065701,0,40,0,0.0000,0.0000
75,0.066601,0,40,0,0.0000,0.0000
76,0.067501,0,40,0,0.0000,0.0000
77,0.068401,0,40,0,0.0000,0.0000
78,0.069301,0,40,0,0.0000,0.0000
79,0.070201,0,40,0,0.0000,0.0000
80,0.071101,0,40,0,0.0000,0.0000
81,0.072001,0,40,0,0.0000,0.0000
82,0.072901,0,40,0,0.0000,0.0000
83,0.073801,0,40,0,0.0000,0.0000
84,0.074701,0,40,0,0.0000,0.0000
85,0.075600,0,40,0,0.0000,0.0000
86,0.076500,0,40,0,0.0000,0.0000
87,0.077400,0,40,0,0.0000,0.0000
88,0.078301,0,40,0,0.0000,0.0000
89,0.079201,0,42,0,0.0000,0.0000
90,0.080101,0,42,0,0.0000,0.0000
91,0.081001,0,42,0,0.0000,0.0000
92,0.081901,0,42,0,0.0000,0.0000
93,0.082801,0,42,0,0.0000,0.0000
94,0.083701,0,42,0,0.0000,0.0000
95,0.084601,0,42,0,0.0000,0.0000
96,0.085501,0,42,0,0.0000,0.0000
97,0.086400,0,42,0,0.0000,0.0000
98,0.087300,0,42,0,0.0000,0.0000
99,0.088200,0,42,0,0.0000,0.0000
100,0.089100,0,42,0,0.0000,0.0000
101,0.090000,0,42,0,0.0000,0.0000
102,0.090900,0,42,0,0.0000,0.0000
103,0.091800,0,42,0,0.0000,0.0000
104,0.092700,0,42,0,0.0000,0.0000
105,0.093600,0,42,0,0.0000,0.0000
106,0.094501,0,42,0,0.0000,0.0000
107,0.095401,0,42,0,0.0000,0.0000
108,0.096301,0,42,0,0.0000,0.0000
109,0.097200,0,42,0,0.0000,0.0000
110,0.098100,0,42,0,0.0000,0.0000
111,0.099000,0,42,0,0.0000,0.0000
112,0.099900,0,42,0,0.0000,0.0000
113,0.100800,0,42,0,0.0000,0.0000
114,0.101700,0,42,0,0.0000,0.0000
115,0.102600,0,42,0,0.0000,0.0000
116,0.103500,0,42,0,0.0000,0.0000
117,0.104400,0,42,0,0.0000,0.0000
118,0.105300,0,42,0,0.0000,0.0000
119,0.106200,0,42,0,0.0000,0.0000
120,0.107100,0,42,0,0.0000,0.0000
121,0.108000,0,42,0,0.0000,0.0000
122,0.108900,0,42,0,0.0000,0.0000
123,0.109800,0,42,0,0.0000,0.0000
124,0.110700,0,42,0,0.0000,0.0000
125,0.111600,0,42,0,0.0000,0.0000
126,0.112500,0,42,0,0.0000,0.0000
127,0.113400,0,42,0,0.0000,0.0000
128,0.114300,0,42,0,0.0000,0.0000
129,0.115200,0,42,0,0.0000,0.0000
130,0.116100,0,42,0,0.0000,0.0000
131,0.117000,0,42,0,0.0000,0.0000
132,0.117901,0,42,0,0.0000,0.0000
133,0.118801,0,42,0,0.0000,0.0000
134,0.119701,0,42,0,0.0000,0.0000
135,0.120601,0,42,0,0.0000,0.0000
136,0.121501,0,42,0,0.0000,0.0000
137,0.122401,0,42,0,0.0000,0.0000
138,0.123301,0,42,0,0.0000,0.0000
139,0.124201,0,42,0,0.0000,0.0000
140,0.125101,0,43,0,0.0000,0.0000
141,0.126001,0,43,0,0.0000,0.0000
142,0.126901,0,43,0,0.0000,0.0000
143,0.127801,0,43,0,0.0000,0.0000
144,0.128701,0,43,0,0.0000,0.0000
145,0.129601,0,43,0,0.0000,0.0000
146,0.130501,0,43,0,0.0000,0.0000
147,0.131401,0,43,0,0.0000,0.0000
148,0.132301,0,43,0,0.0000,0.0000
149,0.133201,0,43,0,0.0000,0.0000
150,0.134101,0,43,0,0.0000,0.0000
151,0.135001,0,43,0,0.0000,0.0000
152,0.135901,0,43,0,0.0000,0.0000
153,0.136801,0,43,0,0.0000,0.0000
154,0.137701,0,43,0,0.0000,0.0000
155,0.138601,0,43,0,0.0000,0.0000
156,0.139501,0,43,0,0.0000,0.0000
157,0.140401,0,46,0,0.0000,0.0000
158,0.141301,0,46,0,0.0000,0.0000
159,0.142201,0,46,0,0.0000,0.0000
160,0.143101,0,46,0,0.0000,0.0000
161,0.144001,0,46,0,0.0000,0.0000
162,0.144901,0,46,0,0.0000,0.0000
163,0.145801,0,46,0,0.0000,0.0000
164,0.146701,0,46,0,0.0000,0.0000
165,0.147601,0,46,0,0.0000,0.0000
166,0.148501,0,46,0,0.0000,0.0000
167,0.149401,0,46,0,0.0000,0.0000
168,0.150301,0,46,0,0.0000,0.0000
169,0.151201,0,46,0,0.0000,0.0000
170,0.152101,0,46,0,0.0000,0.0000
171,0.153001,0,46,0,0.0000,0.0000
172,0.153901,0,46,0,0.0000,0.0000
