Frame_ID,Time_s,Arduino_State,Camera_Frame,Raw_Ticks_Signed,Zeroed_Dist_cm,Smoothed_Vel_cm_s
1,0.000000,0,37,0,0.0000,0.0000
2,0.000900,0,38,0,0.0000,0.0000
3,0.001800,0,38,0,0.0000,0.0000
4,0.002700,0,38,0,0.0000,0.0000
5,0.003600,0,38,0,0.0000,0.0000
6,0.004500,0,38,0,0.0000,0.0000
7,0.005400,0,38,0,0.0000,0.0000
8,0.006300,0,38,0,0.0000,0.0000
9,0.007200,0,38,0,0.0000,0.0000
10,0.008100,0,38,0,0.0000,0.0000
11,0.009000,0,38,0,0.0000,0.0000
12,0.009900,0,38,0,0.0000,0.0000
13,0.010800,0,38,0,0.0000,0.0000
14,0.011700,0,38,1,0.0119,1.0161
15,0.012600,0,38,1,0.0119,0.9435
16,0.013500,0,38,1,0.0119,0.8806
17,0.014400,0,38,1,0.0119,0.8256
18,0.015300,0,38,1,0.0119,0.7770
19,0.016200,0,41,1,0.0119,0.7338
20,0.017100,0,41,1,0.0119,0.6952
21,0.018000,0,41,1,0.0119,0.6605
22,0.018900,0,41,1,0.0119,0.6290
23,0.019800,0,41,1,0.0119,0.6004
24,0.020700,0,41,1,0.0119,0.5743
25,0.021600,0,41,1,0.0119,0.5504
26,0.022500,0,41,1,0.0119,0.5284
27,0.023400,0,41,1,0.0119,0.5080
28,0.024300,0,41,1,0.0119,0.4892
29,0.025200,0,41,1,0.0119,0.4718
30,0.026100,0,41,1,0.0119,0.4555
31,0.027000,0,41,1,0.0119,0.4403
32,0.027900,0,41,1,0.0119,0.4261
33,0.028800,0,41,1,0.0119,0.4128
34,0.029700,0,41,1,0.0119,0.4003
35,0.030600,0,41,1,0.0119,0.3885
36,0.031500,0,41,1,0.0119,0.3774
37,0.032400,0,41,1,0.0119,0.3669
38,0.033300,0,41,1,0.0119,0.3570
39,0.034200,0,41,1,0.0119,0.3476
40,0.035100,0,41,1,0.0119,0.3387
41,0.036000,0,41,1,0.0119,0.3302
42,0.036900,0,41,1,0.0119,0.3222
43,0.037800,0,41,1,0.0119,0.3145
44,0.038700,0,41,1,0.0119,0.3072
45,0.039601,0,41,1,0.0119,0.3002
46,0.040501,0,41,1,0.0119,0.2935
47,0.041401,0,41,1,0.0119,0.2872
48,0.042301,0,41,1,0.0119,0.2810
49,0.043201,0,41,1,0.0119,0.2752
50,0.044101,0,41,1,0.0119,0.2696
51,0.045001,0,41,1,0.0119,0.2642
52,0.045901,0,41,1,0.0119,0.2590
53,0.046801,0,41,1,0.0119,0.2540
54,0.047701,0,41,1,0.0119,0.2492
55,0.048601,0,41,1,0.0119,0.2446
56,0.049501,0,41,1,0.0119,0.2402
57,0.050401,0,41,1,0.0119,0.2402
58,0.051301,0,41,1,0.0119,0.2402
59,0.052201,0,41,1,0.0119,0.2402
60,0.053101,0,41,1,0.0119,0.2402
61,0.054001,0,41,1,0.0119,0.2402
62,0.054901,0,41,1,0.0119,0.2402
63,0.055801,0,41,1,0.0119,0.2402
64,0.056701,0,41,1,0.0119,0.2402
65,0.057601,0,41,1,0.0119,0.2402
66,0.058501,0,41,1,0.0119,0.2402
67,0.059401,0,41,1,0.0119,0.2402
68,0.060301,0,41,2,0.0238,0.4803
69,0.061201,0,41,2,0.0238,0.2402
70,0.062101,0,41,2,0.0238,0.2402
71,0.063001,0,42,2,0.0238,0.2402
72,0.063901,0,42,2,0.0238,0.2402
73,0.064801,0,42,2,0.0238,0.2402
74,0.065701,0,42,2,0.0238,0.2402
75,0.066601,0,42,2,0.0238,0.2402
76,0.067501,0,42,2,0.0238,0.2402
77,0.068401,0,42,2,0.0238,0.2402
78,0.069301,0,42,2,0.0238,0.2402
79,0.070201,0,42,2,0.0238,0.2402
80,0.071101,0,42,2,0.0238,0.2402
