Frame_ID,Time_s,Arduino_State,Camera_Frame,Raw_Ticks_Signed,Zeroed_Dist_cm,Smoothed_Vel_cm_s
1,0.000000,0,34,1,0.0000,0.0000
2,0.000900,0,35,1,0.0000,0.0000
3,0.001800,0,35,1,0.0000,0.0000
4,0.002700,0,35,1,0.0000,0.0000
5,0.003600,0,35,1,0.0000,0.0000
6,0.004500,0,35,1,0.0000,0.0000
7,0.005400,0,35,1,0.0000,0.0000
8,0.006300,0,35,1,0.0000,0.0000
9,0.007200,0,35,1,0.0000,0.0000
10,0.008100,0,35,1,0.0000,0.0000
11,0.009000,0,35,1,0.0000,0.0000
12,0.009900,0,35,1,0.0000,0.0000
13,0.010800,0,35,1,0.0000,0.0000
14,0.011700,0,35,1,0.0000,0.0000
15,0.012600,0,35,1,0.0000,0.0000
16,0.013500,0,35,1,0.0000,0.0000
17,0.014400,0,35,1,0.0000,0.0000
18,0.015300,0,35,1,0.0000,0.0000
19,0.016200,0,35,1,0.0000,0.0000
20,0.017100,0,38,1,0.0000,0.0000
21,0.018000,0,38,1,0.0000,0.0000
22,0.018900,0,38,1,0.0000,0.0000
23,0.019800,0,38,1,0.0000,0.0000
24,0.020700,0,38,1,0.0000,0.0000
25,0.021600,0,38,1,0.0000,0.0000
26,0.022500,0,38,1,0.0000,0.0000
27,0.023400,0,38,1,0.0000,0.0000
28,0.024300,0,38,1,0.0000,0.0000
29,0.025200,0,38,1,0.0000,0.0000
30,0.026100,0,38,1,0.0000,0.0000
31,0.027000,0,38,1,0.0000,0.0000
32,0.027900,0,38,1,0.0000,0.0000
33,0.028800,0,38,1,0.0000,0.0000
34,0.029700,0,38,1,0.0000,0.0000
35,0.030600,0,38,1,0.0000,0.0000
36,0.031500,0,38,1,0.0000,0.0000
37,0.032400,0,38,1,0.0000,0.0000
38,0.033300,0,38,1,0.0000,0.0000
39,0.034200,0,38,1,0.0000,0.0000
40,0.035100,0,38,1,0.0000,0.0000
41,0.036000,0,38,1,0.0000,0.0000
42,0.036900,0,38,1,0.0000,0.0000
43,0.037800,0,38,1,0.0000,0.0000
44,0.038701,0,38,1,0.0000,0.0000
45,0.039601,0,38,1,0.0000,0.0000
46,0.040501,0,38,1,0.0000,0.0000
47,0.041401,0,38,1,0.0000,0.0000
48,0.042301,0,38,1,0.0000,0.0000
49,0.043201,0,38,1,0.0000,0.0000
50,0.044101,0,38,1,0.0000,0.0000
51,0.045001,0,38,1,0.0000,0.0000
52,0.045901,0,38,1,0.0000,0.0000
53,0.046801,0,38,1,0.0000,0.0000
54,0.047701,0,38,1,0.0000,0.0000
55,0.048601,0,38,1,0.0000,0.0000
56,0.049501,0,38,1,0.0000,0.0000
57,0.050401,0,38,1,0.0000,0.0000
58,0.051301,0,38,1,0.0000,0.0000
59,0.052201,0,38,1,0.0000,0.0000
60,0.053101,0,38,1,0.0000,0.0000
61,0.054001,0,38,1,0.0000,0.0000
62,0.054901,0,38,1,0.0000,0.0000
63,0.055801,0,38,1,0.0000,0.0000
64,0.056701,0,38,1,0.0000,0.0000
65,0.057601,0,38,1,0.0000,0.0000
66,0.058501,0,38,1,0.0000,0.0000
67,0.059401,0,38,1,0.0000,0.0000
68,0.060301,0,38,1,0.0000,0.0000
69,0.061201,0,39,1,0.0000,0.0000
70,0.062101,0,39,1,0.0000,0.0000
71,0.063001,0,39,1,0.0000,0.0000
72,0.063901,0,39,1,0.0000,0.0000
73,0.064801,0,39,1,0.0000,0.0000
74,0.065701,0,39,1,0.0000,0.0000
75,0.066601,0,39,1,0.0000,0.0000
76,0.067501,0,39,1,0.0000,0.0000
77,0.068401,0,39,1,0.0000,0.0000
78,0.069301,0,39,1,0.0000,0.0000
79,0.070201,0,39,1,0.0000,0.0000
80,0.071101,0,39,1,0.0000,0.0000
81,0.072001,0,39,1,0.0000,0.0000
82,0.072901,0,39,1,0.0000,0.0000
83,0.073801,0,39,1,0.0000,0.0000
84,0.074701,0,39,1,0.0000,0.0000
85,0.075601,0,39,1,0.0000,0.0000
86,0.076501,0,39,1,0.0000,0.0000
87,0.077401,0,41,1,0.0000,0.0000
